央视节目,#genre#
CCTV1,http://106.59.2.162:55555/udp/239.200.200.70:8008
CCTV1,http://106.59.2.162:55555/udp/239.200.200.95:8044
CCTV1,http://106.59.2.162:55555/udp/239.200.201.135:8880
CCTV1,http://106.59.2.162:55555/udp/239.200.201.29:4120
CCTV1,http://113.248.110.83:8181/udp/235.254.198.1:1280
CCTV1,http://113.248.110.83:8181/udp/235.254.198.51:1480
CCTV1,http://113.249.227.18:8000/udp/235.254.198.1:1280
CCTV1,http://113.249.227.18:8000/udp/235.254.198.51:1480
CCTV1,http://119.39.79.108:4022/udp/228.1.1.1:6001
CCTV1,http://119.86.72.213:4022/udp/235.254.198.1:1280
CCTV1,http://119.86.72.213:4022/udp/235.254.198.51:1480
CCTV1,http://125.70.183.105:8123/udp/239.93.0.148:5140
CCTV1,http://125.70.183.105:8123/udp/239.93.0.184:5140
CCTV1,http://125.70.183.105:8123/udp/239.93.0.69:5140
CCTV1,http://125.70.183.105:8123/udp/239.93.1.68:5140
CCTV1,http://61.188.85.118:8001/udp/239.93.0.148:5140
CCTV1,http://61.188.85.118:8001/udp/239.93.0.184:5140
CCTV1,http://61.188.85.118:8001/udp/239.93.0.69:5140
CCTV1,http://61.188.85.118:8001/udp/239.93.1.68:5140
CCTV1,http://61.188.85.163:8001/udp/239.93.0.148:5140
CCTV1,http://61.188.85.163:8001/udp/239.93.0.184:5140
CCTV1,http://61.188.85.163:8001/udp/239.93.0.69:5140
CCTV1,http://61.188.85.163:8001/udp/239.93.1.68:5140
CCTV10,http://113.248.110.83:8181/udp/235.254.198.59:1512
CCTV10,http://113.248.110.83:8181/udp/235.254.198.6:1300
CCTV10,http://113.249.227.18:8000/udp/235.254.198.59:1512
CCTV10,http://113.249.227.18:8000/udp/235.254.198.6:1300
CCTV10,http://119.39.79.108:4022/udp/228.1.1.10:6010
CCTV10,http://119.86.72.213:4022/udp/235.254.198.59:1512
CCTV10,http://119.86.72.213:4022/udp/235.254.198.6:1300
CCTV10,http://125.70.183.105:8123/udp/239.93.0.63:5140
CCTV10,http://125.70.183.105:8123/udp/239.93.1.28:5140
